player_id,position,team,name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,b_gnd_into_dp,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,b_reached_on_error
657041,"['RF', 'CF']",Guardians,"Thomas, Lane",2024,28,472,528,112,68,26,3,15,137,44,5,7,67,98,23,35,4
657077,"['RF', 'CF', 'LF']",Yankees,"Verdugo, Alex",2024,28,559,621,130,88,28,1,13,93,49,14,1,88,190,42,24,4
660821,"['RF', 'LF']",Marlins,"Sánchez, Jesús",2024,26,489,537,123,79,25,1,18,140,41,12,4,55,133,28,12,3
662139,"['RF', 'CF', 'LF']",Blue Jays,"Varsho, Daulton",2024,27,459,513,98,52,21,7,18,137,48,2,4,73,74,20,59,1
663538,"['SS', '2B']",Cubs,"Hoerner, Nico",2024,27,582,641,159,116,35,1,7,66,44,8,12,86,169,67,35,6
663624,['1B'],Orioles,"Mountcastle, Ryan",2024,27,473,507,128,83,30,2,13,114,27,13,1,63,120,36,17,4
663697,['2B'],Reds,"India, Jonathan",2024,27,533,637,132,87,28,2,15,125,80,16,15,69,141,39,31,3
663837,"['RF', 'CF', '3B', 'LF']",Tigers,"Vierling, Matt",2024,27,518,567,133,84,28,5,16,121,41,9,3,75,123,39,30,3
663898,['2B'],Rockies,"Rodgers, Brendan",2024,27,501,539,134,91,29,1,13,132,31,12,4,43,156,27,11,3
663993,['1B'],Rangers,"Lowe, Nathaniel",2024,28,486,565,129,96,16,1,16,125,71,9,4,61,128,33,13,2
664023,['LF'],Cubs,"Happ, Ian",2024,29,569,657,138,77,34,2,25,168,80,7,6,88,114,33,30,2
664034,['1B'],Reds,"France, Ty",2024,29,479,535,112,75,24,0,13,114,38,16,13,80,129,25,23,4
664761,"['1B', '3B']",Phillies,"Bohm, Alec",2024,27,554,606,155,94,44,2,15,86,40,18,6,87,168,40,21,3
665161,['SS'],Astros,"Peña, Jeremy",2024,26,602,650,160,115,28,2,15,111,25,15,14,92,182,39,24,5
665489,"['1B', '3B']",Blue Jays,"Guerrero Jr., Vladimir",2024,25,616,697,199,124,44,1,30,96,72,16,5,71,185,45,22,2
665742,"['RF', 'LF']",Yankees,"Soto, Juan",2024,25,576,713,166,90,31,4,41,119,129,10,4,77,162,31,22,4
665750,['CF'],Rangers,"Taveras, Leody",2024,25,480,529,110,78,17,3,12,112,42,8,0,81,116,36,30,4
665833,"['SS', 'CF']",Pirates,"Cruz, Oneil",2024,25,541,599,140,82,34,3,21,181,51,8,3,48,125,28,21,2
665862,"['CF', '3B', '2B']",Marlins,"Chisholm Jr., Jazz",2024,26,562,621,144,95,21,4,24,152,53,6,4,65,143,35,24,5
665926,['2B'],Guardians,"Giménez, Andrés",2024,25,583,633,147,115,22,1,9,97,26,11,15,78,187,49,32,5
666624,"['3B', 'LF', '2B']",Cubs,"Morel, Christopher",2024,25,535,611,105,70,11,3,21,159,61,15,10,67,131,30,45,4
666969,['RF'],Rangers,"García, Adolis",2024,31,580,637,130,78,27,0,25,177,45,12,6,93,119,34,32,5
666971,['LF'],D-backs,"Gurriel Jr., Lourdes",2024,30,513,553,143,101,22,2,18,101,29,16,6,84,117,37,35,1
668227,"['CF', 'LF']",Mariners,"Arozarena, Randy",2024,29,549,648,120,67,33,0,20,169,73,7,22,79,126,25,34,4
668709,['CF'],Athletics,"Bleday, JJ",2024,26,572,642,139,72,43,4,20,125,67,8,2,110,119,41,39,4
668715,"['1B', 'RF', 'LF', '2B', 'SS']",Reds,"Steer, Spencer",2024,26,574,656,129,71,34,4,20,137,72,5,8,100,129,39,42,7
668804,"['RF', 'LF']",Pirates,"Reynolds, Bryan",2024,29,622,692,171,115,29,3,24,156,57,7,10,84,158,42,11,9
668930,['2B'],Brewers,"Turang, Brice",2024,24,559,619,142,107,24,4,7,105,50,8,2,71,184,44,19,4
669394,"['1B', '3B']",Marlins,"Burger, Jake",2024,28,535,579,134,81,23,1,29,150,31,11,9,76,123,27,27,3
